Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
40,117234,DataMiner,"2014-12-09 07:26:41",0.36823,72,"manishkk,shulhisapli,tomasztarczynski"
41,162629,"Ankit Samantara","2015-04-15 16:53:17",0.36841,3,ankitsam
42,162613,"Jaehwan Kim","2015-05-28 12:52:52",0.36849,20,jaehwankim
43,175719,KU_PR_15-1_5,"2015-05-23 13:58:08",0.36852,34,"drake2,kupr1515"
44,173739,ultron,"2015-05-25 20:48:47",0.36871,48,ksodipo
45,156715,R.,"2015-04-20 15:29:41",0.36885,35,romains
46,160760,"Srijan R Shetty","2015-04-19 04:27:06",0.36898,14,srijanrshetty
47,149152,"Tamilselvan Palani","2015-04-29 12:22:10",0.36909,15,tamilselvan
48,163222,"Ayush mittal","2015-04-12 11:41:20",0.36915,13,ayushmi
49,176372,pilozej,"2015-05-26 19:28:56",0.36945,23,pilozej
50,98946,VeloWizard,"2014-08-21 14:38:13",0.36967,57,toulouse
51,173597,yebewax,"2015-05-26 19:03:19",0.36980,26,yebewax
52,138649,"Peeyush Agarwal","2015-04-17 16:44:02",0.36995,34,apeeyush
53,179578,"Marian Dragt","2015-05-12 15:05:19",0.36998,5,granota
54,181441,rilut,"2015-05-29 08:10:57",0.36998,9,luthfianto
55,137290,"Big Mike M","2015-05-12 19:54:12",0.36999,38,bigmikem
56,162499,"Dhruv Singal","2015-04-11 23:34:25",0.37011,6,dhruvsingal
57,164531,prashkr,"2015-04-09 20:53:07",0.37040,6,prashkr
58,161804,abarnwal,"2015-04-20 05:40:17",0.37066,26,abhishekbarnwal
59,159703,"Khagesh Patel","2015-04-17 05:15:00",0.37085,43,khageshpatel93
60,97372,hassiktir,"2015-03-18 07:40:30",0.37086,26,hassiktir
61,134261,"Adarsh Chavakula","2015-05-28 16:18:51",0.37089,52,adarshchavakula
62,154220,"Hongfei Wang","2015-03-24 06:23:15",0.37091,5,zhouge
63,163958,Miao,"2015-04-09 20:03:25",0.37096,6,miaoer
64,137068,"Teodor-Bogdan Barbieru","2015-01-12 11:57:14",0.37098,23,teodorbogdanbarbieru
65,149349,"priyansu sekhar","2015-05-27 07:47:21",0.37099,19,priyansu
66,122182,Mickael,"2015-03-15 16:52:51",0.37106,8,mickaellegal
67,155182,UCL_mavens,"2015-03-25 23:46:07",0.37106,7,"bence1,fayimora,gazizzhotabayev,ucljhr"
68,151928,"Cong ZLwag","2015-04-10 01:27:42",0.37106,43,congzlwag
69,178644,StaceyHarding,"2015-05-14 02:27:59",0.37106,25,sharding
70,176979,zacks,"2015-05-28 19:08:12",0.37106,7,mzacks
71,142307,"Fan Peng","2015-05-20 20:20:28",0.37106,36,fanpeng2
72,172466,cud155,"2015-05-22 23:57:34",0.37106,14,chandrad
73,157306,rafadaguiar,"2015-05-29 14:49:26",0.37106,32,rafadaguiar
74,183884,FengZhou,"2015-05-26 14:25:47",0.37106,4,fengzhou
75,116669,Aarya,"2015-04-29 11:47:32",0.37107,9,bansalanshul
76,182085,"feng zhao","2015-05-18 06:45:14",0.37107,5,feng1008wd
77,184301,gx92512,"2015-05-28 07:04:35",0.37107,5,gx92512
78,152799,dirlt,"2015-03-14 13:46:12",0.37107,33,dirlt0
79,131182,陳奕中,"2015-04-07 07:18:54",0.37107,22,kkchuchu
80,172208,zavior,"2015-05-27 08:21:38",0.37107,19,zavior
81,174613,meituo,"2015-05-22 10:16:38",0.37107,9,meituo
82,155132,FloTheGreat,"2015-03-17 16:54:49",0.37107,2,flothegod
83,148693,"Vladimir Nekrasov","2015-03-23 15:01:46",0.37123,38,drsleep
84,153449,lvl99JimmyRustler,"2015-03-29 22:22:12",0.37127,26,lvl99jimmyrustler
85,127167,"just for fun","2015-05-07 14:34:02",0.37127,35,willamette
86,181914,zhibiao,"2015-05-21 15:02:41",0.37127,10,"wenjunz,zhibiao"
87,108873,DART,"2014-08-06 04:49:43",0.37135,14,willawei1
88,156932,yltycylc,"2015-03-27 01:32:21",0.37203,16,"pap283324,yourilt,yuching"
89,179518,"Martí Mayo","2015-05-25 09:01:14",0.37219,6,martimayo
90,180470,wp3891,"2015-05-25 09:49:05",0.37281,29,wp3891
91,133997,SweeRoty,"2015-02-09 10:10:01",0.37365,55,sweeroty
92,124511,"głaz z duszą","2014-12-12 00:43:46",0.37465,93,johnasselta
93,153628,Tajo,"2015-03-10 06:39:40",0.37514,9,seung1
94,112475,"Ellen Arun","2015-05-05 17:56:16",0.37536,14,ellenarun
95,153658,kevin,"2015-03-12 19:17:27",0.37575,11,kevin85
96,182195,d,"2015-05-18 17:17:31",0.37584,10,neocles
97,152656,"Adi Dror","2015-05-17 05:34:22",0.37639,33,adror003
98,154784,kagglefun,"2015-05-02 08:36:37",0.37673,9,kagglemiracle
99,182008,hkcho,"2015-05-28 17:31:35",0.37744,24,forum19
100,131172,Ayser,"2014-12-31 16:35:33",0.37748,8,ayserarmiti
101,183042,data_sciency,"2015-05-27 17:05:04",0.37793,7,natadxj
102,185685,bicikl,"2015-05-28 15:52:42",0.37845,1,bicikl
103,179353,Danuta,"2015-05-28 21:38:49",0.37850,25,danuta
104,119958,frutoper,"2015-04-24 05:10:53",0.37935,45,markfruin
105,156700,"Ben Stetler","2015-04-02 09:09:00",0.37948,35,benstetler
106,117873,"Endless Sky","2014-09-30 10:39:29",0.37976,24,endlesssky
107,117741,"Alger Remirata","2014-09-30 10:40:57",0.37976,31,algerremirata
108,185872,Kunal,"2015-05-29 11:58:05",0.37990,5,kunalkohli
109,186064,TEG1,"2015-05-29 17:48:12",0.37990,1,teganalytics
110,183722,lavendar,"2015-05-25 03:34:11",0.37992,14,lavendar
111,160847,lefant,"2015-04-05 21:24:20",0.38024,25,lefant
112,159680,"krishnachaitanya kalagarla","2015-04-12 11:59:58",0.38045,16,krishnachaitanyakalagarla
113,113630,"Wenfeng Wang","2014-09-22 22:00:05",0.38055,18,wenfeng
114,179162,KU_PR_15-1_6,"2015-05-27 12:17:48",0.38080,13,kupatternr6
115,178140,"[Deleted] #13","2015-05-14 03:21:15",0.38089,34,del=0ecb40e41a37b956
116,179041,waniro,"2015-05-26 07:47:34",0.38091,13,waniro
117,130866,"Team Oliver","2015-01-18 00:00:28",0.38103,22,"christophzepf,googi250851"
118,161047,Bunny,"2015-04-08 23:51:48",0.38151,26,"bunny1,chizhang1,jvonbergen,yanqiao0"
119,161034,hhchu,"2015-03-30 11:30:07",0.38158,5,hhschu
120,171196,"Yashwanth Reddy","2015-05-24 20:32:43",0.38171,6,yashwanthreddy
121,165161,Halvard,"2015-04-10 13:59:41",0.38187,9,halvard
122,123807,"Neerav Basant","2014-12-01 02:56:24",0.38187,49,nbasant
123,157444,"Ciarán Hennessy","2015-04-13 20:25:18",0.38200,38,nennec
124,123001,Yan,"2014-11-25 04:04:04",0.38222,12,zhaoy27
125,155147,"haibo wu","2015-03-23 11:05:22",0.38271,18,haibowu
126,122651,"Rony Rozas","2015-05-23 23:09:09",0.38320,48,ronyrozas
127,124773,Coalminers,"2014-11-20 20:02:34",0.38329,34,"camillantunes,elisamussumeci,matheussecco"
128,154812,"Liana Napalkova","2015-05-25 19:04:35",0.38334,19,liananapalkova
129,181455,"Vishal Sood","2015-05-29 10:30:38",0.38349,36,vsmodelmaker
130,100140,Dawg,"2015-05-29 19:55:33",0.38362,50,abhijitk
131,108867,D-team,"2014-07-31 16:00:37",0.38392,39,"cannonmatt,jonpowell,jthej220026,jxiesd,markliu2,samz1220032"
132,117640,RosDolor,"2014-09-30 12:54:35",0.38441,42,rosdolor
133,138400,Gupocca,"2015-03-10 02:55:23",0.38454,16,gupocca
134,181679,Random_Insights,"2015-05-25 22:11:29",0.38479,14,biware
135,137313,Cinch,"2015-05-29 16:06:52",0.38520,32,lonecypress
136,128013,Satyasheel,"2014-11-30 04:49:03",0.38523,22,satyasheel
137,179972,nullas,"2015-05-23 16:39:28",0.38536,3,nullas
138,122110,"Yi Mao","2014-11-06 01:21:39",0.38578,11,yimao169270
139,183716,"Jiaxing Liang","2015-05-21 08:39:21",0.38578,1,liangjiaxing
140,114194,Joe89,"2015-02-03 02:43:13",0.38584,21,joep89
141,117735,Naning-Gurado,"2014-09-30 08:56:23",0.38595,30,naninggurado
142,114551,Antikythera,"2015-05-27 11:13:55",0.38614,52,siryonatan
143,142399,"Alex 2","2015-02-12 15:24:46",0.38626,18,alexanderengelhardt
144,183168,"jasiek 2","2015-05-27 21:59:46",0.38672,24,jasiekgda
145,137551,"Team DEFT","2015-02-07 00:23:32",0.38683,27,"andymkc,keelerrussell,mihaip,paulmineau,swethaj"
146,120155,"Yury Ustinovskiy","2014-10-09 01:24:40",0.38695,13,yuraust
147,162898,"Tazhoo Deen","2015-05-27 14:21:12",0.38695,14,tazhoodeen
148,159731,"Chenglei Niu","2015-03-27 15:02:40",0.38696,6,chenglei
149,117444,Puccabelle,"2014-10-03 17:30:06",0.38699,49,puccabelle
150,157247,happydemiologist,"2015-03-22 03:47:38",0.38708,3,del=6873a088a6507d78
151,97314,razgon,"2014-06-20 14:45:21",0.38745,50,razgon
152,125902,Zantonio,"2015-04-17 09:08:54",0.38771,54,zantonio
153,156158,Azzeddine,"2015-03-29 14:25:07",0.38812,9,azzeddine
154,118301,pieliedie,"2014-09-25 16:05:43",0.38859,8,pieliedie
155,120792,anand,"2014-10-11 17:57:51",0.38942,10,anandkalburgi
156,180432,Vicky99,"2015-05-16 03:03:59",0.38972,16,vicky99
157,178357,"青青 叶","2015-05-16 01:51:44",0.38972,29,vicky9999
158,117973,BikeSharingCountFinder,"2014-10-14 14:57:32",0.38973,30,sindhusha
159,117892,jugad,"2014-10-14 15:07:05",0.38992,23,"ankurkadam1,naveenbade"
160,180900,Vicky999,"2015-05-15 13:47:14",0.39002,6,vicky999
161,123998,svirg,"2014-11-23 18:34:36",0.39002,33,kapuchinoff
162,120803,maverick,"2014-10-11 15:42:38",0.39010,9,maverick15
163,117611,Magicians,"2014-10-15 05:33:56",0.39025,58,"pravalikondaveeti,vedavathimannepalli"
164,117651,PbSnow,"2014-09-24 16:01:43",0.39047,23,pbsnow1
165,184923,"TEG Analytics","2015-05-28 12:22:20",0.39053,6,thegenie
166,127296,"[Deleted] #3","2015-01-04 07:57:55",0.39079,8,del=71afe21c37fa50a2
167,138477,elsonidoq,"2015-03-09 13:44:23",0.39090,74,elsonidoq
168,120824,"Chetan Jain","2014-10-14 11:33:50",0.39115,15,chetanjain
169,171772,h,"2015-05-04 19:32:37",0.39128,19,h3309089
170,117858,"Determined Innovators","2014-10-22 21:34:39",0.39141,110,"anusha2,dilwar"
171,136700,"Xueying Liu","2015-01-03 13:32:27",0.39152,1,xueyingliu0
172,136119,m3882828,"2015-01-02 10:58:41",0.39157,7,m3882828
173,136622,"Qian Peng","2015-01-03 07:24:30",0.39160,2,qianpeng
174,167672,Phil,"2015-04-18 22:18:33",0.39171,2,phil37
175,180196,ilya,"2015-05-11 13:16:19",0.39173,2,ilya9350037
176,154574,katieleinchen,"2015-03-26 14:13:00",0.39217,13,katieleinchen
177,118219,su.park,"2014-11-09 05:54:22",0.39239,15,datastudent
178,120429,peace,"2014-10-13 17:50:45",0.39242,31,peacer
179,111681,"Liran Katzir","2014-08-31 04:59:50",0.39327,30,lirankatzir
180,139621,3+me,"2015-03-25 18:04:04",0.39420,12,"chriz1,threeplusme"
181,117915,NoName,"2014-10-11 05:50:12",0.39429,36,noname7
182,137916,"Tinto James","2015-02-24 03:29:35",0.39433,15,tintojames
183,125226,QQQQ,"2015-03-11 02:50:05",0.39440,112,wildsnakes
184,120590,rocket77,"2014-10-14 06:00:33",0.39466,22,rocket77
185,133647,Resi2014#3_ISE,"2015-01-24 14:44:40",0.39513,13,"bashii,del=21e5412b0085f1c8,hiroto0125,ttsuzuku,user274442,yoshiaki96"
186,117719,rj03,"2015-03-02 14:18:13",0.39517,41,aabellera
187,117921,Bikheers,"2014-09-29 16:26:39",0.39525,11,bikheers
188,152104,Tiana,"2015-03-21 12:03:34",0.39526,32,tianahan
189,136693,qiang.rao,"2015-01-03 13:28:57",0.39532,2,qiangrao1
190,169695,Andres,"2015-05-21 22:21:53",0.39560,16,andrespl
191,104015,mike@p,"2014-07-14 01:22:15",0.39563,43,io197551
192,117638,"Rarry Abatol","2014-09-26 15:44:43",0.39565,7,rarryabatol
193,99096,"Kuang Chen","2014-10-23 00:12:38",0.39573,53,kuangchen
194,124454,"Miroslav Sabo","2014-11-06 00:00:17",0.39594,10,miroslavsabo
195,174880,HAN,"2015-05-21 09:17:33",0.39618,17,del=7aa072b80f449de5
196,149301,BikeShare448,"2015-04-29 23:11:14",0.39660,15,"dwj300,jeff48,jkillian,xtina337942"
197,100837,Goutam,"2014-09-05 01:45:42",0.39668,13,goutam
198,118059,00Myr,"2014-09-24 17:27:04",0.39669,21,user00myr238392
199,118715,Vincent,"2014-09-26 16:21:01",0.39681,10,vincentjacob
200,117788,Gens,"2014-09-30 12:32:12",0.39691,24,genquiz
201,124391,"Beknazar Abdikamalov","2014-12-15 01:12:56",0.39715,10,beknazar
202,99107,MisterSparkle,"2014-06-06 07:11:27",0.39729,10,mistersparkle
203,131892,"Bek Abdik","2014-12-15 12:27:47",0.39730,5,bekabdik
204,136901,huangduojia,"2015-03-25 14:57:06",0.39740,37,saber00
205,157654,hellowork,"2015-03-22 15:35:47",0.39744,2,hellowork
206,184095,ZorO.o,"2015-05-28 14:38:54",0.39750,12,ramaganesh09
207,126688,konata,"2015-05-29 03:13:50",0.39756,26,konata
208,116688,"Peorth Chen","2014-09-21 07:33:01",0.39789,31,peorthrind
209,129172,jackzzhang,"2014-12-13 20:27:32",0.39789,32,jackzz
210,120737,snehal,"2014-10-11 15:29:43",0.39790,11,snehal228933
211,120632,DataDevils,"2014-10-12 05:29:27",0.39799,28,"datafish1,ravichandra"
212,183430,Bhaskar,"2015-05-29 23:57:42",0.39801,17,bhaskar7
213,108795,Bunkie,"2014-08-07 06:25:27",0.39816,17,chunkaiwang
214,128291,"Olzhas Kaiyrakhmet","2014-12-22 12:50:25",0.39817,40,olzhabay
215,176149,vzaretsk,"2015-05-29 20:33:44",0.39823,59,vzaretsk
216,117371,"Jayvee Bluza","2014-09-30 14:33:43",0.39865,47,jayveebluza
217,184569,Omriaf,"2015-05-28 13:26:04",0.39875,12,omri17
218,106044,"Haijie Gu 2","2014-08-14 09:04:25",0.39907,7,haijieg
219,117711,rmc93,"2014-09-26 15:08:42",0.39939,22,rmc93234266
220,142682,"Yen-Ying Lee","2015-02-18 06:24:32",0.39943,8,white1033
221,120263,"Little Leg","2014-12-14 01:48:22",0.39946,17,"jackzzz,joker8,yutian0"
222,163994,4K+I,"2015-04-22 01:29:09",0.39951,13,lfcynwa
223,124685,YhatPack,"2014-12-17 00:00:40",0.39954,42,"danny14,dmilad,jheckman"
224,119733,darenbang,"2014-10-02 19:38:04",0.39965,1,darenbang
225,134387,mnirul,"2015-01-15 17:54:12",0.39974,58,mnrlmn
226,115350,"Ren Chengbin","2014-09-03 10:47:37",0.40010,4,renchengbin
227,117432,Reijay,"2014-09-26 16:41:21",0.40015,23,reijay
228,138729,"Mike Nachbar","2015-04-07 16:53:02",0.40031,28,mikenachbar
229,184100,pridhvi,"2015-05-28 14:15:58",0.40034,11,pridhvic
230,183690,"Guru Bhai","2015-05-29 12:45:08",0.40034,4,gurunath
231,113181,mybikerider,"2015-05-29 12:04:00",0.40034,29,"saurabhbhatt,shilparai"
232,112100,"Pronojit Saha","2015-05-29 20:44:15",0.40035,53,pronojit
233,117654,vjgomez,"2014-09-26 17:43:44",0.40074,24,vjgomez
234,123557,"Lubivic Maloch","2014-11-18 23:34:39",0.40078,19,"blodoli,lucasmachado,victorvillas"
235,104941,"Haijie Gu","2014-07-16 18:46:27",0.40086,13,haijiegu
236,136157,astrologer,"2015-01-02 19:25:39",0.40098,9,astrologer0
237,129192,predict!,"2015-01-27 07:35:40",0.40098,106,predict2
238,185382,DrVivi,"2015-05-29 20:21:53",0.40098,9,drvivi
239,111442,"Hitesh Sharma","2014-12-27 02:57:11",0.40103,34,hitesh
240,151623,"UCL Gaussian Priors","2015-03-30 10:58:30",0.40105,13,"bojanvujatovic,hmourit,matteohessel,miljanm"
241,106883,lily,"2014-07-25 17:15:05",0.40106,15,lily14212
242,132446,"Kamil Dębowski","2015-01-09 11:44:08",0.40111,33,errichto
243,145909,"Tetsuro Tayama","2015-02-22 02:51:10",0.40136,21,tetsurotayama
244,136401,cjma,"2015-01-04 13:43:33",0.40163,17,chengjiun
245,125783,"Royal Butchara","2014-11-19 09:54:05",0.40164,29,"cristopherleal,marciobastos,veniciusgoncalves"
246,159699,"Nikita Putintsev","2015-04-15 10:52:23",0.40181,22,putintsev
247,131599,chshr,"2014-12-15 11:31:31",0.40185,11,chshr266228
248,121341,kymhorsell,"2014-10-30 00:25:20",0.40237,17,kymhorsell1
249,136062,vruizext,"2015-01-16 11:04:55",0.40248,31,vruizext
250,104802,yoav_talmi,"2014-07-20 17:22:27",0.40259,13,yoavtalmi
251,117377,VAMSHI,"2014-11-02 13:18:54",0.40270,27,"daredevil,vamshigun"
252,119129,GrowAPear,"2014-10-11 20:20:37",0.40279,11,growapear
253,103001,rf,"2014-07-16 08:22:53",0.40310,49,rf2203916
254,109369,howser,"2015-03-06 20:18:54",0.40334,45,jrw126
255,126310,"UW DataSci J+H","2014-12-16 22:06:04",0.40339,12,"heatherglennwade,jj91709"
256,125464,heyitsryan678,"2015-01-26 15:27:39",0.40355,13,heyitsryan678
257,135946,"Hamed Abdelhaq","2014-12-31 22:24:44",0.40396,5,hamedabdelhaq
258,107022,IDI-Determinators,"2014-09-30 15:23:03",0.40398,43,"idideterminators,sguikema,smt4t95992"
259,128440,"Aleksandr Kuchin","2014-12-26 08:44:03",0.40421,55,kuchin
260,122420,!desanIME,"2014-11-18 22:05:25",0.40435,5,"del=6533a67e245b761f,kizzyterra"
261,120558,spreading_smiles,"2014-10-11 11:05:48",0.40458,13,spreadingsmiles
262,106445,CPApractice,"2014-07-19 16:56:14",0.40487,5,links520
263,118685,adam,"2014-09-29 04:40:02",0.40499,4,adamjdanger
264,154687,"thomas METAIS","2015-04-03 18:23:49",0.40501,13,tmetais
265,115463,lain,"2014-09-15 14:25:38",0.40520,5,flclain
266,184544,Omri,"2015-05-28 22:08:28",0.40533,22,omridover
267,120634,jjsg,"2014-10-10 19:36:46",0.40567,10,jjsg245624
268,130957,"Mohanarangan Tiruppathy","2015-04-14 20:05:29",0.40568,7,mohan7490
269,129265,lkjslkjdlk,"2015-01-04 02:42:17",0.40575,57,yejunyu
270,153654,Frank,"2015-04-06 01:38:01",0.40579,29,fuchilin
271,104549,"Jonathan Scanlan","2015-05-09 03:35:09",0.40585,158,jonathanscanlan
272,119321,poyopuyo,"2015-04-08 08:26:44",0.40587,43,poyopuyo
273,147761,UW_INDE_GROUP,"2015-03-03 20:17:53",0.40594,4,jyfeather
274,126580,"Fabio Gabriel","2014-11-29 17:15:04",0.40606,28,fabiogabriel
275,172582,Jian,"2015-04-24 05:40:39",0.40608,2,jian4334093
276,102841,"Abhinav Litkar","2015-05-08 22:15:48",0.40632,85,abhinavlitkar
277,120644,Harish,"2014-10-10 17:55:09",0.40633,6,harish5
278,124907,michaldul,"2015-05-29 22:38:50",0.40657,15,del=0b57eb38c2ac62ff
279,114241,Eric,"2015-05-13 07:40:18",0.40663,15,chonglinsun
280,148238,"McGill Design Project","2015-03-30 19:44:24",0.40671,26,"cherylguo,michaelcurtis,nwitter,voula11"
281,169441,"C. Ma","2015-05-28 20:46:45",0.40677,23,edussx
282,120692,abcd2,"2014-10-11 09:07:47",0.40679,11,abcd2246004
283,113904,DBEN,"2014-09-08 11:18:06",0.40685,11,drorben
284,116259,"Tal Rozen","2014-09-20 10:25:00",0.40685,14,talrozen
285,100105,ivo,"2014-06-18 10:56:04",0.40687,22,iamivo
286,122250,"冠霖 邱","2015-01-05 04:50:28",0.40696,92,user231280
287,163059,Darko,"2015-04-05 07:58:56",0.40714,6,darkoo
288,175665,ripton,"2015-05-26 06:37:43",0.40715,7,injae1
289,126490,UCAS-Libaier,"2015-01-03 09:08:13",0.40715,4,libaier
290,163916,"JM Park","2015-05-26 03:07:27",0.40715,12,pjmwjdals92
291,160025,UCL_pianists,"2015-03-27 13:27:52",0.40718,1,"pand0ra,peterxiong0"
292,145501,Uniwandering11,"2015-03-16 10:17:59",0.40729,12,"databug1,uniwandering"
293,154029,UCL_RandomWalk,"2015-03-12 20:52:17",0.40730,9,"jpfiguero,yazheli,yingkaixu"
294,147066,Canivel,"2015-03-15 01:04:47",0.40733,36,canivel
295,120807,"Michael H","2014-10-11 15:31:07",0.40733,10,michaelh238172
296,151120,"Max Berggren","2015-03-07 18:07:12",0.40734,17,maxberggren
297,120699,"Platinum Miners","2014-10-11 15:36:34",0.40735,14,"nithinvedula,sivaramakrishnakurapati"
298,152572,jerrymomo10,"2015-03-12 02:57:20",0.40736,4,jerrymomo10
299,141162,New_Bayesians,"2015-03-22 05:38:04",0.40744,37,"del=220e353250f88ef9,shubhamtomar"
300,159814,UCL_Again,"2015-05-14 18:16:20",0.40745,21,"asachet,gcremi92,raykaze"
301,151136,Hektor,"2015-03-13 00:06:43",0.40754,25,hektor
302,109557,"Pavel Pozdnyak","2014-08-08 06:42:15",0.40755,17,pozdpl
303,152060,LittleDuck_gaga,"2015-03-03 21:14:56",0.40759,5,"guoqiangliang,iamraymond21,xiaoran2,xinjiang1"
304,117448,"Nino Paul Batanay","2014-09-29 09:09:35",0.40759,42,bninopaul
305,137522,"Tung Phung","2015-04-02 17:14:39",0.40764,15,tungphung
306,154028,Mizulina,"2015-03-11 21:48:20",0.40767,10,del=a6087095b85e8579
307,155602,"Niraporn Chootiraka","2015-03-20 18:59:20",0.40781,6,nirapornchootiraka
308,162595,lovePig,"2015-04-03 06:06:51",0.40795,3,lovepig
309,145136,ec-ccs,"2015-03-30 14:58:29",0.40799,64,evaristoc
310,167958,shish,"2015-04-15 12:52:23",0.40801,1,shishpav
311,137054,neural_guy,"2015-04-18 17:50:46",0.40815,43,neuralguy
312,112944,Scott,"2014-09-01 21:43:29",0.40826,8,smfullman
313,115166,Terry,"2014-09-02 01:37:45",0.40826,8,terrychenism
314,113975,jc23,"2014-10-09 06:56:31",0.40826,10,"kaps241966,nem228259"
315,123066,anusha,"2014-10-27 07:40:50",0.40826,1,anusha4
316,127696,rej156,"2014-11-27 18:05:47",0.40826,3,rej156
317,127860,"Beautiful Mined","2014-11-27 21:44:45",0.40826,25,"echopulse,theskas,xxintro1"
318,127111,MiratePuffin,"2014-11-28 00:18:54",0.40826,9,miratepuffin
319,128636,Alnaimi,"2014-11-27 23:54:11",0.40826,3,alnaimi
320,130219,"Team Defenstration","2014-12-13 06:37:39",0.40826,2,schan93
321,136516,"lianhe zhao","2015-01-03 11:23:14",0.40826,2,lianhezhao
322,145360,jwwei,"2015-02-11 06:52:26",0.40826,3,jwwthu
323,129904,yyxyz,"2015-01-13 08:27:51",0.40835,48,yyxyz231448
324,120846,pramod,"2014-10-11 16:17:36",0.40856,5,pramod6
325,124969,midsdudes1,"2014-12-17 02:19:09",0.40869,44,"inf3rn0,nikhilgkurup,zbeaver4"
326,122901,"Christopher Mooney","2015-05-27 19:45:06",0.40883,23,mooneychristopher
327,113816,"tim der zauberer","2015-02-18 11:33:47",0.40890,14,timderzauberer
328,183571,"Alexander Svanevik","2015-05-20 21:11:09",0.40896,3,svanevik
329,157137,"Shravan Shetty","2015-05-25 00:44:07",0.40910,38,shravanumn
330,114539,Hit_WZW,"2014-08-30 04:08:19",0.40925,10,hitwzw1
331,117606,jtitusj,"2014-09-30 08:16:22",0.40947,49,jtitusj
332,163668,noleg,"2015-04-25 10:52:48",0.40951,9,olegnovikov
333,104343,"Joe Regan","2014-07-08 18:11:35",0.40954,3,jdr0317
334,128474,"Ryan H.","2015-05-02 01:30:32",0.40958,42,rahumble
335,117739,"Loveme Felicilda","2014-09-24 11:42:34",0.40969,25,llfelicilda
336,164544,"Alexander Zyryanov","2015-04-17 09:24:00",0.41004,17,chargered
337,115791,"Jeremy Hsu","2015-03-21 07:27:16",0.41018,14,jalchemist
338,148529,tbuffum,"2015-03-09 18:10:31",0.41019,8,tbuffum
339,102769,"Karthik Sriram","2014-08-01 22:12:26",0.41028,2,karthiksriram
340,102230,Idiots,"2014-07-12 16:11:45",0.41029,10,"deepiks,rishabhsharma0"
